skill,precision,recall,f1_score,support
AWS,0.8703703703703703,0.8952380952380953,0.8826291079812206,105
Airflow,0.36363636363636365,0.8,0.5,5
Azure,0.8877551020408163,0.925531914893617,0.90625,94
Bash,0.16666666666666666,0.9090909090909091,0.28169014084507044,11
CI/CD,0.3880597014925373,0.9285714285714286,0.5473684210526316,28
Docker,0.328125,1.0,0.49411764705882355,21
Excel,0.6282051282051282,0.9423076923076923,0.7538461538461538,52
GCP,0.8686868686868687,0.8775510204081632,0.8730964467005076,98
Git,0.21428571428571427,1.0,0.35294117647058826,9
Go,0.5441860465116279,0.9669421487603306,0.6964285714285714,121
Java,0.5301204819277109,0.9166666666666666,0.6717557251908397,48
JavaScript,0.4777777777777778,0.8775510204081632,0.6187050359712231,49
Kafka,0.3333333333333333,0.95,0.4935064935064935,20
Kubernetes,0.36363636363636365,0.9523809523809523,0.5263157894736842,42
Linux,0.22950819672131148,0.9333333333333333,0.3684210526315789,15
Machine Learning,0.4606741573033708,0.9111111111111111,0.6119402985074627,45
MongoDB,0.85,1.0,0.918918918918919,68
MySQL,0.2222222222222222,0.8571428571428571,0.35294117647058826,7
NLP,0.2,0.3333333333333333,0.25,3
Node.js,0.7586206896551724,0.9166666666666666,0.8301886792452831,24
PostgreSQL,0.3835616438356164,1.0,0.5544554455445545,28
PyTorch,0.0,0.0,0.0,0
Python,0.54421768707483,0.9411764705882353,0.6896551724137931,85
React,0.2923076923076923,0.9047619047619048,0.4418604651162791,21
Redis,0.2,0.75,0.3157894736842105,8
Rust,0.2647058823529412,1.0,0.4186046511627907,18
SQL,0.6,0.9,0.72,70
Spark,0.5,0.8571428571428571,0.631578947368421,7
Statistics,0.34615384615384615,0.6923076923076923,0.46153846153846156,13
Tableau,0.5208333333333334,0.8928571428571429,0.6578947368421053,28
TensorFlow,0.0,0.0,0.0,0
Terraform,0.25806451612903225,0.9411764705882353,0.4050632911392405,17
TypeScript,0.2716049382716049,0.8461538461538461,0.411214953271028,26
dbt,0.13043478260869565,1.0,0.23076923076923078,3
